,opta_id,injury_start_date,sport,team,gsis_id,depth_chart_order,sportradar_id,active,oddsjam_id,fantasy_data_id,last_name,yahoo_id,injury_body_part,pandascore_id,team_abbr,first_name,years_exp,birth_date,search_last_name,metadata,college,status,swish_id,search_full_name,news_updated,practice_participation,birth_city,injury_notes,espn_id,rotowire_id,competitions,stats_id,team_changed_at,practice_description,depth_chart_position,injury_status,number,search_rank,player_id,birth_state,position,age,weight,full_name,search_first_name,fantasy_positions,birth_country,hashtag,rotoworld_id,high_school,height
9487,,,nfl,JAX,,5.0,c05863ec-3414-4ae6-a8d2-830aed99b6d3,True,6C394246A6D8,,Washington,,,,,Parker,2.0,2002-03-21,washington,"{'channel_id': '1113708892983947264', 'rookie_year': '2023'}",Penn State,Active,1229074.0,parkerwashington,1736200206659.0,,,,,16690.0,[],,,,SWR,,11.0,676.0,9487,,WR,22.0,204,Parker Washington,parker,['WR'],,#parkerwashington-NFL-JAX-11,,Travis (TX),70
6923,,,nfl,CIN,,1.0,95f3b8ac-e10f-4f0d-8650-b464b37ded86,True,403AA74AF980,21931.0,Stone,32889.0,,,,Geno,5.0,1999-04-19,stone,"{'channel_id': '1113708806937800704', 'rookie_year': '2020'}",Iowa,Active,1059222.0,genostone,1736448939319.0,,,,4240575.0,14474.0,[],,,,FS,,22.0,610.0,6923,,DB,25.0,210,Geno Stone,geno,['DB'],,#genostone-NFL-CIN-22,,New Castle (PA),71
1907,,,nfl,,,,7ebbfdef-1185-4896-a323-e6d5669a8345,False,,16135.0,Manziel,27550.0,,,,Johnny,6.0,1992-12-06,manziel,,Texas A&M,Inactive,,johnnymanziel,1552834853016.0,,,,16736.0,9246.0,[],593578.0,,,,,2.0,9999999.0,1907,,QB,27.0,210,Johnny Manziel,johnny,['QB'],,#johnnymanziel-NFL-FA-2,9271.0,Tivy (TX),"6'0"""
7325,,,nfl,,,,bab100c6-1a6c-4411-9286-f719244f5d35,True,4F578D605AAF,22317.0,Gaziano,32982.0,,,,Joe,5.0,1996-09-27,gaziano,"{'channel_id': '1116853369403604992', 'rookie_year': '2020'}",Northwestern,Active,880210.0,joegaziano,1733248229358.0,,,,3915990.0,15065.0,[],,,,,,97.0,9999999.0,7325,,DE,28.0,275,Joe Gaziano,joe,['DL'],,#joegaziano-NFL-FA-97,,Xaverian Brothers (MA),76
8716,,,nfl,,,,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,True,,,Williams,,,,,Jarrid,1.0,1997-07-02,williams,{'channel_id': '1116853519173812224'},Miami (FL),Active,877900.0,jarridwilliams,1691094646911.0,,,,,16329.0,[],,,,,,76.0,9999999.0,8716,,OL,26.0,308,Jarrid Williams,jarrid,['OL'],,#jarridwilliams-NFL-FA-76,,Cedar Hill (TX),78
6648,,,nfl,, 00-0035477,,89fc014a-7d41-40c9-90d1-1459286813e2,True,,21539.0,Ruble,32485.0,,,,Brock,3.0,1996-01-07,ruble,{'channel_id': '1116853286427688960'},Toledo,Active,,brockruble,,,,,3122934.0,14291.0,[],,,,,,72.0,9999999.0,6648,,OT,26.0,325,Brock Ruble,brock,['OL'],,#brockruble-NFL-FA-72,,DeMatha Catholic,80
3342,,,nfl,,00-0032791,,5de11f0b-8da9-42ba-9a93-db7f0a58543b,True,2CDE42756969,18103.0,Grant,29420.0,,,,Jakeem,8.0,1992-10-30,grant,"{'channel_id': '1116852852942176256', 'rookie_year': '2016'}",Texas Tech,Active,605325.0,jakeemgrant,1734242151808.0,,,,2577641.0,10990.0,[],605325.0,,,,,84.0,662.0,3342,,WR,32.0,172,Jakeem Grant,jakeem,['WR'],,#jakeemgrant-NFL-FA-84,11475.0,Horn (TX),67
1684,,,nfl,,00-0030300,,51952c7b-11c5-4229-baf9-08d4694cc2ad,True,,15509.0,Brown,27074.0,,,,Jaron,9.0,1990-01-08,brown,{'channel_id': '1116852755042926592'},Clemson,Active,,jaronbrown,1602620149319.0,,,,16172.0,9046.0,[],463514.0,,,,,18.0,763.0,1684,,WR,32.0,205,Jaron Brown,jaron,['WR'],,#jaronbrown-NFL-FA-18,8869.0,Cheraw (SC),75
3268,,,nfl,HOU,00-0033038,1.0,16e4ffec-959d-4210-8702-36c0bf20dda5,True,DFF0CE83247F,18029.0,Murray,29340.0,,,,Eric,9.0,1994-01-07,murray,"{'channel_id': '1113708783088988160', 'rookie_year': '2016'}",Minnesota,Active,651636.0,ericmurray,1737859823496.0,,,,2970716.0,11141.0,[],,,,FS,,23.0,9999999.0,3268,,DB,31.0,199,Eric Murray,eric,['DB'],,#ericmurray-NFL-HOU-23,,Riverside (WI),71
4449,,,nfl,PHI,00-0033445,,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,True,DB8EDD57A8EC,19310.0,Morrow,30633.0,,,,Nicholas,8.0,1995-07-10,morrow,"{'channel_id': '1113708756631318529', 'rookie_year': '2017'}",Greenville,Active,1050219.0,nicholasmorrow,1735865416050.0,,,,4232830.0,12428.0,[],,,,,,43.0,500.0,4449,,LB,29.0,216,Nicholas Morrow,nicholas,['LB'],,#nicholasmorrow-NFL-PHI-43,,Huntsville (AL),72
11072,,,nfl,,,,fa4e3720-e760-11ed-a510-95de71e69612,True,C7E7375D12FB,,Pryor,,,,,Joshua,1.0,1999-10-25,pryor,"{'channel_id': '1116852648922841088', 'rookie_year': '2023'}",Bowie State,Active,1334826.0,joshuapryor,1700343030178.0,,,,,17615.0,[],,,,,,47.0,9999999.0,11072,,DL,24.0,280,Joshua Pryor,joshua,['DL'],,#joshuapryor-NFL-FA-47,,Paul Laurence Dunbar (MD),76
6918,,,nfl,IND,,4.0,0dbbd211-0372-4751-9751-e4df4ab1f8eb,True,998715B4D91F,21843.0,Ahmed,33265.0,,,,Salvon,5.0,1998-12-30,ahmed,"{'channel_id': '1113708735169064960', 'rookie_year': '2020'}",Washington,Active,1049246.0,salvonahmed,1736268911397.0,,,,4243315.0,14453.0,[],,,,RB,,36.0,9999999.0,6918,,RB,26.0,196,Salvon Ahmed,salvon,['RB'],,#salvonahmed-NFL-IND-36,,Juanita (WA),71
6137,,,nfl,CHI, 00-0035308,5.0,ec63ee49-3a03-44ca-a083-3916f0bccd76,True,BAB992EBEF7A,20957.0,Sweeney,32060.0,,,,Tommy,6.0,1995-07-01,sweeney,"{'channel_id': '1113708766848643072', 'rookie_year': '2019'}",Boston College,Active,836094.0,tommysweeney,1729806320462.0,,,,3122818.0,13667.0,[],836094.0,,,TE,,87.0,9999999.0,6137,,TE,29.0,255,Tommy Sweeney,tommy,['TE'],,#tommysweeney-NFL-CHI-87,,Don Bosco Prep (NJ),77
11340,,,nfl,,,,c242e360-ec6c-11ed-9b1c-797c54fc9d07,True,,,Cecil,,,,,Brad,0.0,1999-12-29,cecil,{'channel_id': '1116852678471712768'},South Florida,Active,1124148.0,bradcecil,,,,,,,[],,,,,,64.0,9999999.0,11340,,OL,23.0,300,Brad Cecil,brad,['OL'],,#bradcecil-NFL-FA-64,,Bartram Trail (FL),76
5668,,,nfl,NYG,00-0034668,,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,True,15D6D87D37FB,20379.0,Stinnie,31619.0,,,,Aaron,7.0,1994-02-18,stinnie,"{'channel_id': '1113708675920326656', 'rookie_year': '2018'}",James Madison,Active,750486.0,aaronstinnie,1735334144319.0,,,,3049339.0,13303.0,[],,,,OL,,64.0,9999999.0,5668,,G,30.0,312,Aaron Stinnie,aaron,"['OG', 'OL']",,#aaronstinnie-NFL-NYG-64,,St. Anne's-Belfield (VA),75
3561,,,nfl,,00-0032583,,a204547e-ecd3-4116-909a-ce823caa9067,True,,18334.0,Williams,29879.0,,,,Bryce,6.0,1993-02-24,williams,{'channel_id': '1116852875503337472'},East Carolina,Active,,brycewilliams,1523486701657.0,,,,2981998.0,10946.0,[],609814.0,,,,,80.0,9999999.0,3561,,TE,28.0,258,Bryce Williams,bryce,['TE'],,#brycewilliams-NFL-FA-80,,North Davidson,78
832,,,nfl,,,,4a99b4bf-e03e-4253-8b9b-c070ef796daf,False,,12857.0,Whalen,24954.0,,,,Ryan,3.0,1989-07-26,whalen,,Stanford,Inactive,,ryanwhalen,,,,,14131.0,7411.0,[],,,,,,81.0,9999999.0,832,,WR,29.0,202,Ryan Whalen,ryan,['WR'],,#ryanwhalen-NFL-FA-81,,,"6'1"""
6751,,,nfl,,,,,False,,21668.0,Player,,,,,Duplicate,0.0,,player,,,Inactive,,duplicateplayer,,,,,,,[],820437.0,,,,,0.0,9999999.0,6751,,,,,Duplicate Player,duplicate,,,#duplicateplayer-NFL-FA-0,12292.0,,
3356,,,nfl,NO,00-0032433,,cce52ea1-7e17-4992-8911-e6b07b7b3831,True,,18117.0,Murphy,29434.0,,,,Kyle,6.0,1993-12-11,murphy,{'channel_id': '1116852854489874432'},Stanford,Active,691007.0,kylemurphy,1640054416821.0,,,,2978275.0,11140.0,[],,,,,,79.0,9999999.0,3356,,OT,28.0,305,Kyle Murphy,kyle,"['OL', 'OT']",,#kylemurphy-NFL-NO-79,,San Clemente (CA),78
6786,,,nfl,DAL,,1.0,a72ea15b-5199-4101-a300-846e1c655add,True,85450367222D,21679.0,Lamb,32687.0,,,,CeeDee,5.0,1999-04-08,lamb,"{'channel_id': '1113708855537201152', 'rookie_year': '2020'}",Oklahoma,Active,1062020.0,ceedeelamb,1735419050530.0,,,,4241389.0,14411.0,[],,,,LWR,,88.0,3.0,6786,,WR,25.0,200,CeeDee Lamb,ceedee,['WR'],,#ceedeelamb-NFL-DAL-88,,Foster (TX),74
5038,,,nfl,,00-0034764,,9e174ff2-ca0e-4e6b-96f7-90f0088f7edd,True,1E240D9C1957,19867.0,Gallup,31051.0,,,,Michael,6.0,1996-03-04,gallup,"{'channel_id': '1113708771563040768', 'rookie_year': '2018'}",Colorado State,Active,912070.0,michaelgallup,1722013243055.0,,,,4036348.0,12810.0,[],912070.0,,,,,10.0,299.0,5038,,WR,28.0,205,Michael Gallup,michael,['WR'],,#michaelgallup-NFL-FA-10,13149.0,Monroe (GA),73
10938,,,nfl,CAR,,2.0,11feb266-14e8-488c-9f7e-f221eaa92df8,True,0C9B6F4EECDC,,Johnson,,,,,DJ,2.0,1998-10-21,johnson,"{'channel_id': '1113708881009209345', 'rookie_year': '2023'}",Oregon,Active,1061549.0,djjohnson,1735937425258.0,,,,,16680.0,[],,,,ROLB,,52.0,9999999.0,10938,,LB,26.0,260,DJ Johnson,dj,['LB'],,#djjohnson-NFL-CAR-52,,Luther Burbank (CA),76
4433,,,nfl,,00-0033453,,695d16fa-1c4e-4ce4-9d2c-0e117b4fa577,False,,19294.0,Coleman,30569.0,,,,Xavier,5.0,1995-01-13,coleman,,Portland State,Inactive,,xaviercoleman,1535771213570.0,,,,3045642.0,12233.0,[],,,,,,0.0,9999999.0,4433,,CB,26.0,190,Xavier Coleman,xavier,['DB'],,#xaviercoleman-NFL-FA-0,,Jesuit (OR),71
11584,,,nfl,TB,,2.0,c5249c6f-bd1b-4352-8228-de2bd499ca0d,True,A45A1C03F17B,,Irving,,,,,Bucky,1.0,2002-08-19,irving,"{'channel_id': '1113708732941889536', 'rookie_year': '2024'}",Oregon,Active,1287923.0,buckyirving,1736742658845.0,,,,,17784.0,[],,,,RB,,7.0,199.0,11584,,RB,22.0,195,Bucky Irving,bucky,['RB'],,#buckyirving-NFL-TB-7,,Hillcrest (IL),70
1195,,,nfl,,00-0029613,,5c2a0c83-e18a-43dd-bd65-704771157e42,False,,14385.0,Martin,25741.0,,,,Doug,10.0,1989-01-13,martin,,Boise State,Inactive,,dougmartin,1567555522755.0,,,,14885.0,8058.0,[],381806.0,,,,,22.0,9999999.0,1195,,RB,32.0,210,Doug Martin,doug,['RB'],,#dougmartin-NFL-FA-22,7426.0,St. Mary's (CA),69
2023,,,nfl,,00-0031060,,35823109-daf1-4825-92b8-564271398ecb,True,,16305.0,Thomas,27652.0,,,,De'Anthony,8.0,1993-01-05,thomas,{'channel_id': '1116852775678902272'},Oregon,Inactive,,deanthonythomas,1648441845359.0,,,,16945.0,9274.0,[],607847.0,,,,,16.0,803.0,2023,,WR,29.0,176,De'Anthony Thomas,deanthony,['WR'],,#deanthonythomas-NFL-FA-16,,Crenshaw (CA),68
